,document,summary,id
109,"Civil protection officials have already revealed that rescuers were let down by the Siresp emergency services network during the four-day disaster.
Now details have emerged of pleas for help that did not get through to commanders on the ground.
The government has ordered an investigation into the network.
The fire began in the Pedrógão Grande area during the afternoon on 17 June and within hours the failures of the emergency network, which relies on mobile antennas, were becoming clear.
The first failure came at 19:45 on 17 June. Three people dialled the 112 emergency number from an abandoned house in nearby Casalinho to report that the building was surrounded by flames. Emergency services tried to contact the local command post and the deputy commander but were unable to get through, according to a civil protection authority (ANPC) timeline, described by Portuguese media as a ""black box"".
Five minutes later, officials were unable to contact a command post to help a father and son in trouble a few kilometres away in Troviscais. These and several other cases are documented throughout the night by the Público and Jornal de Notícias websites.
At 01:02 on 18 June comes the most chilling entry on the civil protection authority's log, in a reference to the deaths of 47 people on a single stretch of the N-236 road. Thirty of the victims died in their cars. A district relief operations command appeals for help in tackling ""breakdowns in the Siresp network"" and for ""lifting the dead victims who are in the road, making it impossible for combat means to get through"".
The civil protection authority has already confirmed ""failures in the Siresp network"" that continued throughout the four-day emergency and on the Saturday evening, firefighters resorted to using their old radio network.
The government on Monday said it had asked for a study into Siresp's operation, particularly during serious accidents and disasters. Prime Minister Antonio Costa said last week that the network had suffered because cables and communication towers had been damaged by the fire. However, he said the mobile network had provided temporary mobile antennas.
The forest fires were the worst in Portugal's history, with 64 dead and 254 injured.
Portugal's Siresp (joint emergency and security network system) has had a chequered past. It was set up in 2006 as a partnership between the government and private sector.
The system stopped working during a rescue attempt in storms in January 2013 and it was linked to the deaths of two firefighters a few months later.","At least 10 emergency calls failed to reach firefighters last week during the forest fires in which 64 people died, reports say.",40415815
110,"The election will determine who will succeed Sepp Blatter, who has been president since 1998.
Blatter, 79, and vice-president Michel Platini have both been suspended for 90 days amid corruption allegations, which both men deny.
Platini is seeking the next presidency, as is Prince Ali bin al-Hussein.
Frenchman Platini, president of European football's governing body Uefa, submitted his candidacy papers earlier this month, but Fifa says it cannot recognise his candidacy while his ban is in place and he cannot campaign.
However, Fifa's electoral committee says it may allow him to stand if his suspension ends before the election date.
Shaikh Salman bin Ebrahim Al Khalifa of Bahrain is expected to contest the election. Former Trinidad and Tobago midfielder David Nakhid said he will stand, while ex-Tottenham defender Ramon Vega is considering doing likewise.
South Korean Chung Mong-joon, another confirmed candidate, claimed his campaign has been ""sabotaged"" by a six-year ban from Fifa's ethics committee. On Tuesday, the 64-year-old's bid to lift the ban was rejected a Zurich district court.
Swiss Blatter is under criminal investigation over claims he made a £1.35m payment to Platini in 2011, as well as allegations he signed a contract ""unfavourable"" to Fifa.
Fifa's reform committee also made a number of recommendations for the governing body to make changes to ""improve efficiency, prevent fraud and conflicts of interest and increase transparency in the organisation"".
A 12-person panel, chaired by former International Olympic Committee director general Francois Carrard, including officials from the six continental confederations, proposed:
More recommendations will be added before being put to the executive committee in December 2015 prior to Fifa's members approving any changes in February 2016.",World football's governing body Fifa has confirmed it will hold the election for its next president at a special congress on 26 February.,34581918
115,"The Midlands club are bottom of the Premier League - 10 points from safety - and failed to make any signings in the January transfer window.
Reports have since suggested Garde will reassess his future in the summer.
But the Frenchman said: ""I'm speaking only about the game. I have nothing else to say. It's not the time to answer this question.""
Villa had a penalty appeal rejected against the Hammers before having Jordan Ayew sent off after just 17 minutes.
West Ham opened the scoring through Michail Antonio - a goal Garde thought might have been offside - before Cheikhou Kouyate added a second for the Upton Park outfit.
""I'm not going to speak any more (about) the incident, it's a major one in the game but I don't have to explain my feelings, and you can guess Jordan's feelings,"" he added.
""Whatever happens in the dressing room is private.
""But I'm not sure it was the only incident that turned the game. Of course I think we should have had a penalty.
""I'm not a lucky or unlucky man, but I don't like to hear it's because we are at the bottom. The rules in football are there for everybody.""",Aston Villa manager Remi Garde refused to talk about his future following his side's 2-0 defeat at West Ham.,35479854
116,"Announcing his decision, Dane County District Attorney Ishmael Ozanne said police officer Matt Kenny had been attacked and feared for his life.
Nineteen-year-old Tony Robinson Jr, who was mixed race and unarmed, was shot on 6 March in a Madison apartment.
His death sparked protests in the state capitol building, one of a series of US police shootings to raise tensions.
More protesters with banners saying ""Black lives matter"" gathered in Madison after the attorney made his announcement on Tuesday.
Mr Robinson's mother, Andrea Irwin, vowed to continue the ""fight"" as she addressed a crowd of supporters outside Grace Episcopal Church.
Earlier, Mr Ozanne had said: ""This tragic and unfortunate death was the result of a lawful use of deadly police force and no charges should be brought against Kenny.""
Officer Kenny was responding to an emergency call about a man obstructing traffic who had allegedly been involved in an assault, when he confronted Robinson.
On the night of the shooting, Robinson had various illicit drugs in his system, according to autopsy reports.
His friends who made multiple 911 calls said he was ""acting crazy"" and tried to choke one of them. They said he attacked people on the sidewalk and was running in front of cars, Mr Ozanne said.
Mr Kenny drew his firearm before entering the apartment building Robinson was in and he claims he was attacked by Robinson at the top of the stairs.
He said he feared he would be knocked down the stairs and Robinson would take his gun, and he fired seven shots at him.
But Mr Robinson's relatives, and many of the Wisconsin protesters, insist he is a victim of police brutality.
""My decision won't bring him back, it will not end the racial disparities that exist in justice system,"" said Mr Ozanne.
""It is not based on emotion, rather the facts as they have been investigated and reported to me, guided by the rule of law.""",No charges will be brought against a white police officer who fatally shot an unarmed teenager in Wisconsin.,32716226
117,"The list of 198 firms owed a total of £466,219 in arrears and included football clubs, recruitment firms, care homes and hairdressers.
Top of the list was a London restaurant which owed almost £100,000 to 30 employees.
The Department for Business, Energy and Industrial Strategy said all the money owed had been paid back to workers.
The list was the largest of its kind since the ""naming and shaming"" scheme was introduced in October 2013.
The department said 688 employers in total have been publicly identified for flouting the law, with total arrears of more than £3.5m.
Business Minister Margot James said: ""It is not acceptable that some employers fail to pay at least the minimum wage their workers are entitled to.
""So we'll continue to crack down on those who ignore the law, including by naming and shaming them.""
Restaurant San Lorenzo in Wimbledon, South West London, owed £99,541.98 to 30 workers, while Premier Recruitment Ltd in Derby owed £34,797.33 to 424 workers.
Also on the list were football clubs Blackpool FC and Brighton and Hove Albion, which owed £2,861.64 to one worker.
Brighton and Hove Albion said its reputation had been ""unfairly tarnished"" by its inclusion on the list, claiming the case was a ""minor administrative error"" which resulted from being ""over generous"" in paying expenses to someone on work experience two years ago.
A spokesman for the club insisted: ""We are one of the few clubs who pays its staff over and above the National Living Wage.""
TUC general secretary Frances O'Grady called for the ""worst offenders"" to be prosecuted, adding: ""Bosses who try to duck the minimum wage must have nowhere to hide.
""The level of underpayment in some cases is truly eye-watering.""
The list comes after the new National Living Wage was introduced in April, requiring employers to pay at least £7.20 an hour to employees aged 25 and over.
However, the Living Wage Foundation calculates that a rate of £8.25 per hour is required to meet the cost of living, rising to £9.40 in London. Some employers pay this higher living wage voluntarily.
The National Living Wage of £6.70 an hour applies to workers aged 21 to 24, with lower rates for younger people and apprentices.
The government's list includes firms that have failed to pay either the minimum wage or the National Living Wage.
Conor D'Arcy from think tank the Resolution Foundation backed the government's policy of naming and shaming but added: ""With the number of people on the wage floor set to treble over the next four years, the government will need to strengthen its resources for enforcing both the national minimum wage and the national living wage.""
Green Party peer Baroness Jones said: ""The government must introduce a real Living Wage, calculated by the actual cost of living, as called for by the Living Wage Foundation and the Green Party, among others.
""This is the only way to ensure people can afford to live in Britain today.""",The government has publicly named almost 200 companies who have failed to pay the minimum wage to employees.,37047554
119,"Thousands of the furry insects, with a wing span of up to 16cm (6in), interrupted a semi-finals match at the Darul Makmur Stadium last week.
Over 800 sightings were also reported in neighbouring Singapore last month, sparking intense online debate.
The Lyssa Zampa tropical moth, which is also known as the Laos brown butterfly, is native to South East Asia.
Biology lecturer N Sivasothi said that while the moth sightings appear to be ""unprecedented"", it is not a new phenomenon.
""The moths are actually present during other times of the year but in very small numbers, so they are usually not noticed by people,"" Mr Sivasothi said, adding that the creatures typically emerge between April and August every year.
Ecologist Anuj Jain said moths' use of light for navigation often causes them to head to built-up areas.
""Their tendency to emigrate in search of new uneaten host plants attracts these moths to light in urban city areas,"" he said.
Experts said that while people suffering from asthma may be sensitive to hairs on their wings, the nocturnal creatures do not pose any threat.
""The moths are harmless and the public has nothing to be afraid of,"" said Lena Chan, Director of the National Biodiversity Centre at the National Parks Board in Singapore.
""There is no need for people to protect themselves against these moths as they do not cause any allergies or diseases. In fact, they are important pollinators and are beautiful to watch.""
Many Malaysians and Singaporeans however, took to the internet to share their moth encounters and to upload photographs of the winged creatures.
Although many seemed to welcome the arrival of the furry insects, others remained cautious.
""In China, moths are viewed as symbols of death as they represent the souls of deceased loved ones,"" said Chinese astrologer Cindy Wu.
""It is therefore considered a serious taboo to kill moths or disturb them.""","Swarms of giant moths have descended on Malaysia, invading homes and even disrupting a national football match.",27758640
120,"This is according to a study revealing that 96% of the chicks are dying at two to three weeks old.
Conservationists say that human activity has driven the birds to one remaining wetland, but that that site has insufficient food for the ducks.
The research is published in the journal Bird Conservation International.
The Wildfowl and Wetlands Trust (WWT), which led the research, estimates that only 25 individual birds now remain in the wild.
Human activity, including deforestation, farming and fishing, has destroyed their habitat to the point that this last population is now restricted to one wetland in north-east Madagascar - a complex of lakes near Bemanevika.
After the rediscovery of the species at this site in 2006, the WWT and its partners, including the Durrell Wildlife Conservation Trust and the Peregrine Fund, set up a conservation breeding programme and began to monitor the wild birds.
Dr Geoff Hilton, head of species research at the WWT, said that with such a small number of birds, keeping a close eye on the population was straightforward.
""We had about 10 or 11 females, [and] we were able to tell that most of those females were laying eggs, and those eggs were hatching,"" he told BBC News.
But at the point when the ducklings were two to three weeks old, they would start disappearing.
Piecing the evidence together, including samples of food from the bottom of the lake, the researchers realised that the chicks were starving to death.
These diving ducks feed from the bottom of lakes, and this steep crater lake was simply too deep for them.
WWT senior research officer Dr Andrew Bamford, who led the study, said: ""The last refuge of the Madagascar pochard is one of the last unspoilt wetlands in the country, but it's simply not suited to its needs.
""Something similar happened in the UK when the lowland red kite became confined to upland Wales, and in Hawaii, where the last nenes survived only on the upper slopes of volcanoes because introduced predators had occupied their favoured grassland habitats.""
Dr Hilton added: ""What we think we're seeing is a bit of a classic wildlife conservation conundrum.
""The place where the species hangs on at the end is not a particularly good place for them - it's just the place that's been least badly affected by human activities.""
But the researchers say the species could thrive in Madagascar again if the captive-bred ducks can be found a new wetland home.
""We have been very successful in establishing a captive population,"" said Dr Hilton.
""And we have recently identified a lake that we think has potential to be restored and become a reintroduction site.
""The main thing we have to do is work with the local people to reintroduce and restore the pochard, but also to restore the lake and help people to get a better livelihood from the lake they live around.""
Follow Victoria on Twitter","The Madagascar pochard, the world's rarest bird, will not be able to thrive without a new wetland home.",28897118
122,"Hywel Dda University Health Board wants to reduce the hours of the paediatric ambulatory care unit (PACU) at Withybush Hospital by four hours a day.
It is making a recommendation in response to there being ""fewer consultant paediatricians available.""
The plans will be discussed at a full health board meeting on 24 November.
The PACU cares for children who experience sudden pain, high temperatures, sickness, infections, or requirements for dressings, blood tests, x-rays or scans.
If the recommendation is accepted, it would mean the PACU would be open daily from 10:00 to 1800 GMT instead of 10:00 to 22:00.
Sick children who require assessment after the new closing time would be referred or transferred by ambulance to Glangwili Hospital in Carmarthen.
The health board said the move to reduce hours in the short term was the result of ""longstanding difficulties in recruiting paediatric consultants across the UK"".
This coincided with the retirement of a Pembrokeshire paediatric consultant and the maternity leave of another.
The health board said to do nothing would be a ""risk.""
There is also a recommendation to merge the on-call rota with the one operating in Carmarthenshire.
This means that if there was a paediatric out-of-hours emergency at Withybush Hospital, the on-call paediatric consultants would offer remote advice.
The health board's chief executive Steve Moore said: ""It is our duty to be realistic about the availability of our consultants and to plan care around this so that it is safe, consistent and to avoid public confusion.
""Otherwise, we risk the event of having insufficient staff and having to close the unit in an unplanned and uncoordinated way, risking patient safety and public confidence.""
He added that the health board's recruitment efforts are continuing.",There are plans to temporarily reduce the opening hours of a children's care unit in Pembrokeshire.,38033492
125,"Moores, a silver medallist in the event at London 2012, was considered a medal chance but finished fifth in his heat.
""I'm not too disappointed about because I haven't been training backstroke. It's all about the breaststroke,"" he said.
The 22-year-old will now turn his attention to the breaststroke.
In athletics, Kyron Duke finished fifth overall in the final of the F41 shot put and Olivia Breen qualified for the final of the T38 100m after finishing fourth in her heat.
In table tennis, World number one Rob Davies beat Silvio Keller of Switzerland 3-2 in his opening class 1 qualifier and faces Italy's Andrea Borgato in his next game on Friday.
Davies hopes to improve on his opening performance, saying: ""Hopefully I can play better in my next match and be a bit more clinical.""
Davies' table tennis teammate Sara Head lost 3-0 to Anna-Carin Ahlquist of Sweden in her opening women's singles class 3 game.
Clare Griffiths played as Great Britain's women lost 43-36 to Canada in the Wheelchair Basketball but Phil Pratt and the men's team beat Algeria 93-31.
Owen Burke failed to qualify for the men's R1-10m Air Rifle Standing final.
Seven Welsh athletes will be in action for on the second day of the Games on Friday.
Para-rower Rachel Morris, who won hand cycling gold in Beijing and bronze in London 2012, starts her campaign in the Arms Only Sculls.
On the track, Jordan Howe is an outside medal chance in the T35 100m and begins his bid in the heats.",Welsh swimmer Aaron Moores failed to qualify for the final of S14 100m backstroke on the opening day of the Paralympic Games in Rio.,37313866
127,"Mrs Foster said on Wednesday that she wanted to better understand those who love the language.
She said she wanted to ""listen to and engage with those from the Gaelic Irish background, those without the party political background"".
Mr Ó Muilleoir said he hoped the meeting would happen soon.
""It's a positive move,"" he said.
""Anything that encourages dialogue, that encourages conversations, that encourages increased understanding has to be positive.""
Stormont's parties have ""paused"" talks to strike a deal to form an executive until after Easter.
The parties have yet to find a deal almost six weeks after the assembly election.
One of Sinn Féin's key priorities in the talks is a guarantee that an Irish Language Act will be enacted.
In February, Arlene Foster said the DUP would never agree to an Irish Language Act.
But she has now said she would meet with ""people who genuinely love the Irish language and don't want to use it as a political weapon"".
Mr Ó Muilleoir said he hoped she would listen carefully to the views of Irish speakers as they are ""united and firm on the need for an Irish Language Act"".
""I think that Arlene will find when she meets the Irish language community that they're a very broad church, people with all political views and none,"" he said.
""She'll find they're united behind the belief that Irish is a shared treasure of our people.
""It's a gift which I think Irish speakers want to share with everyone including, of course, those unionists who haven't yet completed the journey of understanding how important the Irish language is.""
He added that it is ""too early"" to judge where the DUP stands in relation to an Irish Language Act but that the meeting will ""be of benefit to her and to the Irish language community"".
Irish language group Pobal said it would ""gladly accept"" Mrs Foster's invitation to meet with Irish speakers and it had written to Mrs Foster to arrange a meeting.",Sinn Féin's Máirtín Ó Muilleoir has welcomed DUP leader Arlene Foster's decision to meet Irish language speakers and groups.,39594894
128,"The 32-year-old attacking midfielder has signed a two-year deal with Hull City after eight months Stateside.
""The national team weighed heavily on my mind,"" said Maloney.
""It was in March that I noticed that the travel back for the international games was proving more difficult than I thought it was going to be.""
The former Celtic, Aston Villa and Wigan player acknowledged ""it was proving difficult"" to be ""physically 100% able for training and matches"" as he looked to add to his 40 international caps.
Maloney played in both of Scotland's matches in the spring, where he was subbed at half-time in the friendly against Northern Ireland and played the full 90 minutes of the 6-1 win over Gibraltar in Euro 2016 Group D qualifying.
In June, he was back in Scotland for the friendly against Qatar and a few days later played a key role in Scotland's 1-1 draw in the Euro 2016 qualifier against the Republic of Ireland in Dublin.
Earlier this week, he was named in the Scotland squad for next month's Euro qualifiers against Georgia in Tbilisi and Germany at Hampden.
He said of his decision to leave Chicago: ""There were various reasons, a couple of them personal, but once I thought about it professionally, I still had a real desire to achieve something in British football.
""I have loved living in Chicago. I had a brilliant time. I don't think I've been happier living anywhere else.
""The football didn't work out they way we all hoped. The owner, the manager hoped for things to be different.
""I didn't want to give the national manager any excuse whenever I met up with the national team, travelling back from Chicago.""
Maloney did not speak to Scotland boss Gordon Strachan about his move to Hull, a Championship club he was keen to join with Steve Bruce as manager.
He said: ""Once I made it known that I was going to come back, it was two or three weeks ago that Hull showed an interest in me. That's when a decision had to be made.
""My mind was made up pretty quickly that I wanted to play for him. Everything is geared up to get the team back into the Premier League.""
Scotland sit third behind Poland and Germany in Group D qualifying.
""We're in a good position,"" Maloney added. ""Let's hope that we're good enough to get the results needed to get us out the group and get us to a major championship.""",Shaun Maloney admits guarding his place in the Scotland squad was a major factor in his decision to return to British football from Chicago Fire.,34096170
130,"James Male, Andrew Bridge, Steve Warren and Paul Goslin died when Cheeki Rafiki, the yacht they were sailing, capsized in the North Atlantic.
Prosecutors at Winchester Crown Court said yacht manager Douglas Innes failed to get it checked ahead of its trip.
Mr Innes, of Stormforce Coaching, denies four counts of manslaughter by gross negligence.
The 42-year-old, of Whitworth Crescent, Southampton, also denies a further charge of failing to ensure the vessel was operated in a safe manner.
Prosecutor Nigel Lickley QC also outlined to the court how the yacht had been given a category 2 code, which meant it was only authorised to be used commercially up to 60 miles away from a ""safe haven"".
The code certificate had expired shortly before the tragedy, he added.
The men were returning from Antigua Sailing Week to Southampton when the vessel overturned in May 2014.
The court heard that after receiving an urgent email from Andrew Bridge on board the yacht, Mr Innes, who was in a pub at the time, did not call the coastguard but instead went to another pub where Mr Bridge phoned saying the situation had worsened.
Mr Innes returned home, called the coastguard and emailed the crew suggesting they check the bolts of the keel.
Mr Lickley said it was a ""tragedy"" that they would eventually discover a number of bolts had failed or broken, causing the keel to detach from the yacht.
He said: ""Some had failed and were broken and had been for some time,"" before the yacht left the UK in October 2013.
Skipper Mr Bridge, 22, from Farnham in Surrey, Mr Male, 22, from Romsey, Hampshire, Mr Warren, 52, from Bridgwater in Somerset and Mr Goslin, 56, from West Camel in Somerset, died after the yacht lost its keel more than 700 miles from Nova Scotia in Canada.
The yacht was found by a container ship on 17 May, two days after Mr Bridge's urgent email, with its life raft still on board.
Mr Lickley told jurors the keel's loss would have caused a ""rapid capsize"" and the men on deck would have been ""jettisoned"" into the water while those inside would have been trapped.
He added: ""What is clear from two of the emergency beacons used by Andrew Bridge and James Male is that they may have survived for some time, most probably in the water, that is until they were lost too.""
The US Coastguard was criticised for calling off its search after two days.
However, following protests from family and friends, and intervention by the British government, it was restarted and the boat was discovered, the court heard.
The trial continues.","A company boss on trial over the deaths of four sailors when a yacht capsized had been cutting costs, a court heard.",40186158
131,"The 23-year-old signed from Atletico Madrid for a club record fee of £15m following Fernando's Llorente's move from Sevilla.
Borja said: ""We can adapt and play with two strikers or just one, whatever the boss asks from us.""
The record signing will not play in Swansea's season opener at Burnley.
Borja added on Llorente: ""We don't know each other personally but I've been told he's a really good guy.
""I'm sure we'll both work together well and do whatever's best for the team.""
Borja was born in Madrid and came through the academy at Atletico, but has spent the past five seasons on loan away from the Vicente Calderon.
""Of course there's a bit of frustration I didn't play much at Atletico,"" said Borja, who scored 18 goals last season in La Liga for Eibar.
""I grew up there, went through the ranks and wish I'd had more of an opportunity in the first team.""
Despite competition from La Liga and Premier League sides for the Spaniard's signature, Borja says his decision to join Swansea was not difficult.
""Swansea showed the most interest, they seemed to want me more than anyone else,"" he said.
""It's a great club who have a lot of confidence in their players and I really want to make a good impression here.""
Unlike 31-year-old Llorente, who was a part of his Spain's 2010 World Cup and Euro 2012-winning squads, Borja has yet to earn a senior call-up for his country.
But he hopes to emulate ex-Swans striker Michu, who went on to earn a cap for his country after a prolific season with Swansea.
""Michu did a great job at Swansea which eventually earned him a place in Spain's squad,"" said Borja.
""If only I could score as many goals as he did, helping the team in every possible way, for the good of Swansea, but also to put myself in the frame for national selection too.""","New Swansea City signing Borja says ""healthy competition"" with fellow Spanish striker Fernando Llorente will benefit the team.",37049719
135,"The hashtag #penuriecarburantdansunfilm, which translates as ""fuel shortage in a film"", became France's top Twitter trend on Tuesday, with more than 5,000 tweets.
A strike over new labour laws is now affecting all of France's eight oil refineries.
An estimated 20% of petrol stations have either run dry or are low on supplies.
In their posts, French social media users talk about films such as Total Recall, the title of both a 1990 and 2012 science fiction film. Total is also the name of a French multinational oil and gas company.
Some users also changed film titles to reflect the shortage: Pulp Fiction was renamed Pump Friction, The Full Monty became The Fuel Monty and Mad Max: Fury Bicycle Lane replaced Mad Max: Fury Road.
American actor Vin Diesel's surname and his Hollywood blockbusters attracted particular attention, with people inventing several titles for his Fast and Furious series: Last and Furious, Pas Fast Mais Furious (translation: Not Fast But Furious), Immobile and Furious and Fuel Furious.
Others renamed 8 Mile, a semi-biographical drama staring US rapper Eminem, 0 Mile and 8 Miles a Pied (translation: 8 Miles on Foot).
American director Stanley Kubrick appeared to inspire people who posted about Fuel Metal Jacket, referring to Kubrick's 1987 film Full Metal Jacket.
2001, l'Odyssee de l'espace is the French title of Stanley Kubrick's 2001: A Space Odyssey. But Espace is also the name of minivan built by French car manufacturer Renault.
Pictures of people filling jerrycans at petrol stations led people to incorporate the term into film titles. Tom and Jerrrycan, Jerrycan Beauty and Catch Me If You Jerrycan were the result.
Another obvious target was Nicolas Winding Refn's 2011 film Drive which social media users changed to Walk and Drive Pas.
Read more about France's controversial new labour laws","French people affected by a fuel shortage that has hit a fifth of the country's petrol stations have taken to social media, changing film titles as a joke to reflect the problem.",36369872
136,"It comes a year after the bank reached a $5.6bn settlement with the US government over mortgage loans extended to US homebuyers before 2008.
Profits at its consumer banking division, the bank's largest unit, rose 5% from a year ago to $1.8bn.
Residential mortgage lending rose by 13% to $17bn.
""The key drivers of our business - deposit taking and lending to both our consumer and corporate clients - moved in the right direction... and our trading results on  behalf of clients remained fairly stable in challenging capital markets conditions,"" said Bank of America chief executive Brian Moynihan.
The bank, which has paid more than $70bn in legal expenses since 2008, said its legal costs fell for the third quarter in a row, dropping to $231m from $6bn a year earlier.
Separately, US bank Wells Fargo reported its first profits rise for three quarters, with the results helped by its acquisition of commercial loans from General Electric earlier this year.
Net income edged up 0.65% from a year ago to $5.44bn in the three months to the end of September. with revenues up 3% to $21.9bn.
However, its mortgage banking revenue fell 2.7% to $1.59bn.
Earlier this year, Wells Fargo bought a portion of GE's commercial real estate loans worth $9bn, which helped to boost profits in the latest quarter.
On Tuesday, the bank said it would buy a $30bn portfolio of commercial loans and leases from GE.",Bank of America has reported a net profit of $4.07bn (£2.65bn) for the three months to the end of September against a loss of $470m a year earlier.,34527433
138,"Francee, the fortunate feline, was found and saved by Campbell Baird, who came to check on construction work at his new home.
He only noticed the unfortunate cat after hearing ""meowing"" coming from the walls.
""I couldn't believe it at first,"" said Mr Baird.
He used a drill, chisel and hammer to free Francee before posting a video of the unlikely cat rescue on Facebook in an effort to track down the owner.
The video has since been shared more than 700 times and Francee has been reunited with her owner, a little shocked but uninjured from her ordeal.
According to Mr Baird, the cat got stuck in a tiny cavity space after apparently clambering a ladder to the first floor.
""The only way in would have been from above so she must've climbed up and then got stuck down in between the wall.
""It's fortunate I came up to the house or the cat would not have been found.
""It was a small cavity space in the wall. I was able to pull some of the insulation out and then I got some tools to free her,"" said Mr Baird.
""I'm just happy I was able to get the cat back home again and everything worked out OK.""
He added, with a laugh: ""My phone hasn't stopped since I posted the video. But all I wanted was to find the cat's owner and I'm glad I could do that.""",A cat in Carrickfergus was lucky to keep its nine lives after getting trapped in the wall of a partly-built house.,40303872
139,"Shamsul Arefin brought four people from his native Bangladesh to work at the Stewart Hotel near Appin in Argyll over a three year period.
His victims took out loans to pay him substantial sums for employment at the hotel. One was threatened with having his kidney removed by money lenders back home if he didn't pay his debt.
Arefin's crimes were  described as a ""clear case of modern day slavery"".
At Fort William Sheriff Court, he was found guilty of breaches of the Asylum and Immigration Act.
He carried out the crimes between 2008 and 2010. He recruited his victims by offering them jobs as chefs at his hotel.
They were told to pay him substantial sums of money which he described as a ""deposit"" in exchange for employment and a salary.
On their arrival at the hotel, their wages were reduced to a fraction of the contracted amount and they were required to work far longer hours with their duties extended beyond the kitchen.
The men told how they had to paint the hotel, clean rooms and cut and move logs in the hotel grounds in freezing winter temperatures.
Arefin threatened his victims with termination of their employment when they complained and refused to return the money they had paid him.
In one case the victim described how money lenders in Bangladesh had threatened to remove his kidney as a result of his inability to pay back what he owed.
The crimes came to light following an investigation by the UK Border Agency and the then Northern Constabulary.
Responding to Arefin's sentencing, Kath Harper, the Crown's national lead prosecutor for human trafficking, said: ""Arefin's greed had life-changing implications not just for his victims, but for their families and others who supported them.
""Human trafficking can come in many forms and as prosecutors we are committed to doing all we can do eradicate it from Scotland.""
Kevin Hyland, independent anti-slavery commissioner, added: ""The victims of these particular crimes endured exploitation and abuse many thought was a distant memory of the past.
""This is a clear case of 'modern day slavery' and I commend the bravery of the four men who gave evidence at the trial. I hope that receiving justice in the courts assists in their journey of recovery.""
Det Insp Richard Baird from Police Scotland said: ""Shamsul Arefin was driven by financial greed and held no regard for the working conditions of those in his employment.
""This was apparent by the poor condition that his victims were subject to through working long hours at no extra pay and often with substandard equipment and working supplies.
""In bringing this individual to justice we have disrupted, if not dismantled, one more illegal enterprise and hopefully saved other potential victims from inevitable suffering.""",A former hotel owner has been jailed for three years for human trafficking.,33653553
145,"The 14-time major champion, who has twice undergone surgery during 15 months out, is nine shots off the pace set by fellow American JB Holmes.
Woods, 40, had four birdies in eight holes but he bogeyed the ninth after a wayward drive and poor chip.
Another shot went on the 11th, while double bogeys on the 16th and 18th left the world number 898 a stroke over par.
Woods said he ""felt pretty good"" and ""looking forward to the next few days"" after completing his round at the event he hosts to benefit his charitable foundation.
""I hit the ball in three bushes and the water, so it could have been something really good,"" he said on Sky Sports.
""I got off to a solid start but then I made a few mistakes. I didn't play the par fives particularly well. ""I had some awkward shots.  If you drive great you can take advantage of this golf course, but if you don't you can end up in bushes or rocks and go sideways.""
His first double bogey came after he pulled his approach to the green from the centre of the 16th fairway and was forced to chip out short of the green. He over-hit his fourth and two putted from the back edge for a six.
Woods then pulled his drive on the par-four 18th into a lake and although he hit the pin with his fourth shot, he two-putted from 12 feet for the fourth six of his round.
He had briefly tied for the lead at four under after a run of three birdies from the sixth hole as he played the first nine holes in three-under-par 33.
And although he cancelled out his bogey on the 11th with a birdie on the 15th, his two late double bogeys blotted an otherwise encouraging round.
Holmes leads the 18-man event after an eight-under-par 64 that featured seven birdies and an eagle.
Japan's Hideki Matsuyama is a shot further back on seven under, with US Open winner Dustin Johnson on six under.
Open champion Henrik Stenson, American Matt Kuchar and South Africa's Louis Oosthuizen finished the first round tied for fourth on five under.
England's Olympic champion Justin Rose, playing his first event after a seven-week break, props up the field on two over.
Media playback is not supported on this device",Tiger Woods hit a one-over-par 73 on his return to competitive golf at the Hero World Challenge in the Bahamas.,38174214
